품목명,평균가격,최고가격,최저가격,등급,일자
사과 후지_15,49863.63636363636,59727.27272727273,40000.0,특,200301
사과 후지_15,29568.18181818182,39363.63636363636,19772.727272727272,상,200301
사과 후지_15,14613.636363636364,19227.272727272728,10000.0,중,200301
사과 후지_15,6727.272727272727,9636.363636363636,3818.181818181818,하,200301
사과 후지_10,41055.0,43500.0,38000.0,특,200302
사과 후지_15,45000.0,53681.818181818184,36318.181818181816,특,200302
사과 후지_5,18726.0,20000.0,17000.0,특,200302
사과 후지_10,28777.0,38000.0,23000.0,상,200302
사과 후지_15,26094.68181818182,35045.454545454544,17045.454545454544,상,200302
사과 후지_5,17000.0,17000.0,17000.0,상,200302
사과 후지_10,17683.0,23000.0,15000.0,중,200302
사과 후지_15,12516.40909090909,16863.636363636364,8227.272727272728,중,200302
사과 후지_5,16048.0,17000.0,15000.0,중,200302
사과 후지_10,10386.0,15000.0,5000.0,하,200302
사과 후지_15,5917.636363636364,8227.272727272728,3590.909090909091,하,200302
사과 후지_5,15000.0,15000.0,15000.0,하,200302
사과 후지_10,51255.0,72000.0,42000.0,특,200303
사과 후지_15,46645.833333333336,57500.0,35791.666666666664,특,200303
사과 후지_5,18726.0,20000.0,17000.0,특,200303
사과 후지_10,30579.0,42000.0,24000.0,상,200303
사과 후지_15,25670.125,35125.0,16125.0,상,200303
사과 후지_5,17000.0,17000.0,17000.0,상,200303
사과 후지_10,21449.0,24000.0,15000.0,중,200303
사과 후지_15,12223.375,16083.333333333334,8416.666666666666,중,200303
사과 후지_5,16048.0,17000.0,15000.0,중,200303
사과 후지_10,10412.0,15000.0,3000.0,하,200303
사과 후지_15,5778.666666666667,8291.666666666666,3250.0,하,200303
사과 후지_5,15000.0,15000.0,15000.0,하,200303
사과 후지_10,43500.0,43500.0,43500.0,특,200304
사과 후지_15,46434.782608695656,57782.608695652176,35086.95652173913,특,200304
사과 후지_5,18726.0,20000.0,17000.0,특,200304
사과 후지_10,30267.0,43500.0,23000.0,상,200304
사과 후지_15,25677.521739130436,34086.95652173913,17173.91304347826,상,200304
사과 후지_5,17000.0,17000.0,17000.0,상,200304
사과 후지_10,19339.0,23000.0,14000.0,중,200304
사과 후지_15,13254.826086956522,17173.91304347826,9391.304347826086,중,200304
사과 후지_5,16048.0,17000.0,15000.0,중,200304
사과 후지_10,10445.0,14000.0,6000.0,하,200304
사과 후지_15,6356.0,9347.826086956522,3347.8260869565215,하,200304
사과 후지_5,15000.0,15000.0,15000.0,하,200304
사과 후지_10,38568.0,46000.0,34000.0,특,200305
사과 후지_15,45913.04347826087,58739.13043478261,33086.95652173913,특,200305
사과 후지_5,18726.0,20000.0,17000.0,특,200305
사과 후지_10,24096.0,34000.0,20000.0,상,200305
사과 후지_15,24460.130434782608,32217.391304347828,16608.695652173912,상,200305
사과 후지_5,17000.0,17000.0,17000.0,상,200305
사과 후지_10,16351.0,20000.0,11000.0,중,200305
사과 후지_15,13167.869565217392,16608.695652173912,9782.608695652174,중,200305
사과 후지_5,16048.0,17000.0,15000.0,중,200305
사과 후지_10,8669.0,11000.0,3000.0,하,200305
사과 후지_15,6877.739130434783,9739.130434782608,4000.0,하,200305
사과 후지_5,15000.0,15000.0,15000.0,하,200305
사과 후지_10,35316.0,45000.0,29000.0,특,200306
사과 후지_15,44704.545454545456,56590.90909090909,32818.181818181816,특,200306
사과 후지_5,18726.0,20000.0,17000.0,특,200306
사과 후지_10,22659.0,29000.0,20000.0,상,200306
사과 후지_15,24231.045454545456,31909.090909090908,16454.545454545456,상,200306
사과 후지_5,17000.0,17000.0,17000.0,상,200306
사과 후지_10,16317.0,20000.0,12000.0,중,200306
사과 후지_15,12652.772727272728,16409.090909090908,8954.545454545454,중,200306
사과 후지_5,16048.0,17000.0,15000.0,중,200306
사과 후지_10,9103.0,12000.0,5000.0,하,200306
사과 후지_15,6281.272727272727,8954.545454545454,3590.909090909091,하,200306
사과 후지_5,15000.0,15000.0,15000.0,하,200306
사과 아오리_15,53111.11111111111,58666.666666666664,47555.555555555555,특,200307
사과 후지_10,30400.0,30400.0,30400.0,특,200307
사과 후지_15,40096.153846153844,47730.769230769234,32461.53846153846,특,200307
사과 후지_5,18726.0,20000.0,17000.0,특,200307
사과 아오리_15,36611.11111111111,46888.88888888889,26333.333333333332,상,200307
사과 후지_10,27888.0,30400.0,23000.0,상,200307
사과 후지_15,23733.96153846154,31461.53846153846,15923.076923076924,상,200307
사과 후지_5,17000.0,17000.0,17000.0,상,200307
사과 아오리_15,20111.11111111111,26222.222222222223,14000.0,중,200307
사과 후지_10,18622.0,23000.0,14000.0,중,200307
사과 후지_15,11783.115384615385,15769.23076923077,7846.153846153846,중,200307
사과 후지_5,16048.0,17000.0,15000.0,중,200307
사과 아오리_15,8888.888888888889,14000.0,3777.777777777778,하,200307
사과 후지_10,11645.0,14000.0,6000.0,하,200307
사과 후지_15,5382.2307692307695,7807.692307692308,2942.3076923076924,하,200307
사과 후지_5,15000.0,15000.0,15000.0,하,200307
사과 아오리_15,45791.666666666664,55958.333333333336,35625.0,특,200308
사과 홍로_15,98437.5,116875.0,80000.0,특,200308
사과 후지_15,41733.333333333336,49733.333333333336,33733.333333333336,특,200308
사과 아오리_15,27645.833333333332,35208.333333333336,20083.333333333332,상,200308
사과 홍로_15,57562.5,78750.0,36375.0,상,200308
사과 후지_15,27333.333333333332,33000.0,21666.666666666668,상,200308
사과 아오리_15,15895.833333333334,20083.333333333332,11708.333333333334,중,200308
사과 홍로_15,26437.5,36125.0,16750.0,중,200308
사과 후지_15,15866.666666666666,21666.666666666668,10066.666666666666,중,200308
사과 아오리_15,7833.333333333333,11708.333333333334,3958.3333333333335,하,200308
사과 홍로_15,11187.5,16375.0,6000.0,하,200308
사과 후지_15,7166.666666666667,10066.666666666666,4266.666666666667,하,200308
사과 아오리_15,32833.333333333336,38666.666666666664,27000.0,특,200309
사과 양광_15,46000.0,50000.0,42000.0,특,200309
사과 홍로_15,64450.0,80450.0,48450.0,특,200309
