품목명,평균가격,최고가격,최저가격,품목코드,등급,일자
배추_10.0,6350.0,6600.0,6100.0,1.001e+17,특,200301
배추_5.0,4612045.454545454,4788636.363636363,4435454.545454546,1.001e+17,특,200301
배추_10.0,6145.588235294118,6941.176470588235,5350.0,1.001e+17,상,200301
배추_5.0,4077045.4545454546,4401818.181818182,3752272.727272727,1.001e+17,상,200301
배추_10.0,4706.578947368421,5355.263157894737,4057.8947368421054,1.001e+17,중,200301
배추_5.0,3408181.8181818184,3750000.0,3066363.6363636362,1.001e+17,중,200301
배추_10.0,3275.0,3900.0,2650.0,1.001e+17,하,200301
배추_5.0,2617894.736842105,3082105.263157895,2153684.210526316,1.001e+17,하,200301
배추_10.0,6934.090909090909,7129.545454545455,6738.636363636364,1.001e+17,특,200302
배추_5.0,4792619.047619048,4999047.619047619,4586190.476190476,1.001e+17,특,200302
쌈배추_1.0,4225.0,4400.0,4100.0,1.00108e+17,특,200302
쌈배추_8.0,17700.0,17700.0,17700.0,1.00108e+17,특,200302
배추_10.0,5904.727272727273,6540.909090909091,5272.727272727273,1.001e+17,상,200302
배추_5.0,4107142.8571428573,4490476.19047619,3723809.523809524,1.001e+17,상,200302
쌈배추_1.0,3868.0,4100.0,3800.0,1.00108e+17,상,200302
쌈배추_8.0,17049.0,17700.0,15000.0,1.00108e+17,상,200302
배추_10.0,4436.5,5236.363636363636,3575.0,1.001e+17,중,200302
배추_5.0,3324285.714285714,3721428.5714285714,2927142.8571428573,1.001e+17,중,200302
쌈배추_1.0,3653.0,3800.0,3300.0,1.00108e+17,중,200302
쌈배추_8.0,13831.0,15000.0,10000.0,1.00108e+17,중,200302
배추_10.0,2803.7727272727275,3420.4545454545455,2163.6363636363635,1.001e+17,하,200302
배추_5.0,2507380.9523809524,2924761.904761905,2090000.0,1.001e+17,하,200302
쌈배추_1.0,3210.0,3300.0,2800.0,1.00108e+17,하,200302
쌈배추_8.0,7824.0,10000.0,6100.0,1.00108e+17,하,200302
배추_10.0,11119.791666666666,11618.75,10620.833333333334,1.001e+17,특,200303
배추_5.0,6887307.692307692,7157692.307692308,6616923.076923077,1.001e+17,특,200303
쌈배추_1.0,5800.0,5800.0,5800.0,1.00108e+17,특,200303
쌈배추_8.0,17000.0,17000.0,17000.0,1.00108e+17,특,200303
배추_10.0,9448.708333333334,10591.666666666666,8316.666666666666,1.001e+17,상,200303
배추_5.0,5848846.153846154,6394615.384615385,5303076.923076923,1.001e+17,상,200303
쌈배추_1.0,5622.0,5800.0,5500.0,1.00108e+17,상,200303
쌈배추_8.0,16235.0,17000.0,15000.0,1.00108e+17,상,200303
배추_10.0,6832.208333333333,8250.0,5360.416666666667,1.001e+17,중,200303
배추_5.0,4312307.692307692,5082307.692307692,3542307.6923076925,1.001e+17,중,200303
쌈배추_1.0,5368.0,5500.0,5100.0,1.00108e+17,중,200303
쌈배추_8.0,12083.0,15000.0,7500.0,1.00108e+17,중,200303
배추_10.0,4020.0833333333335,5335.416666666667,2700.0,1.001e+17,하,200303
배추_5.0,2615000.0,3310714.285714286,1919285.7142857143,1.001e+17,하,200303
쌈배추_1.0,4964.0,5100.0,4700.0,1.00108e+17,하,200303
