품목명,평균가격,최고가격,최저가격,품목코드,등급,일자
배 신고_15.0,36681.818181818184,41818.181818181816,31545.454545454544,6.0201e+16,특,200301
배 신고_15.0,23022.727272727272,29590.909090909092,16454.545454545456,6.0201e+16,상,200301
배 신고_15.0,12045.454545454546,15500.0,8590.90909090909,6.0201e+16,중,200301
배 신고_15.0,6022.727272727273,8090.909090909091,3954.5454545454545,6.0201e+16,하,200301
배 신고_15.0,38958.0,43818.181818181816,34181.818181818184,6.0201e+16,특,200302
배 신고_5.0,9000.0,9000.0,9000.0,6.0201e+16,특,200302
배 신고_7.5,40000.0,40000.0,40000.0,6.0201e+16,특,200302
배 신고_15.0,24852.636363636364,32363.636363636364,17409.090909090908,6.0201e+16,상,200302
배 신고_5.0,8557.0,9000.0,8500.0,6.0201e+16,상,200302
배 신고_7.5,35275.0,40000.0,35000.0,6.0201e+16,상,200302
배 신고_15.0,12973.272727272728,16181.818181818182,9818.181818181818,6.0201e+16,중,200302
배 신고_5.0,8377.0,8500.0,8000.0,6.0201e+16,중,200302
배 신고_7.5,25450.0,35000.0,18000.0,6.0201e+16,중,200302
배 신고_15.0,6997.5,9318.181818181818,4454.545454545455,6.0201e+16,하,200302
배 신고_5.0,7364.0,8000.0,7000.0,6.0201e+16,하,200302
배 신고_7.5,16675.0,18000.0,15000.0,6.0201e+16,하,200302
배 신고_15.0,36438.666666666664,43000.0,30104.166666666668,6.0201e+16,특,200303
배 신고_5.0,9000.0,9000.0,9000.0,6.0201e+16,특,200303
배 신고_7.5,40000.0,40000.0,40000.0,6.0201e+16,특,200303
배 신고_15.0,21489.125,28354.166666666668,14458.333333333334,6.0201e+16,상,200303
배 신고_5.0,8557.0,9000.0,8500.0,6.0201e+16,상,200303
배 신고_7.5,35275.0,40000.0,35000.0,6.0201e+16,상,200303
배 신고_15.0,11116.958333333334,14250.0,7916.666666666667,6.0201e+16,중,200303
배 신고_5.0,8377.0,8500.0,8000.0,6.0201e+16,중,200303
배 신고_7.5,25450.0,35000.0,18000.0,6.0201e+16,중,200303
배 신고_15.0,5557.708333333333,7708.333333333333,3166.6666666666665,6.0201e+16,하,200303
배 신고_5.0,7364.0,8000.0,7000.0,6.0201e+16,하,200303
배 신고_7.5,16675.0,18000.0,15000.0,6.0201e+16,하,200303
배 신고_15.0,34828.565217391304,39956.52173913043,29782.608695652172,6.0201e+16,특,200304
배 신고_5.0,9000.0,9000.0,9000.0,6.0201e+16,특,200304
배 신고_7.5,40000.0,40000.0,40000.0,6.0201e+16,특,200304
배 신고_15.0,21222.782608695652,28043.478260869564,14608.695652173914,6.0201e+16,상,200304
배 신고_5.0,8557.0,9000.0,8500.0,6.0201e+16,상,200304
배 신고_7.5,35275.0,40000.0,35000.0,6.0201e+16,상,200304
배 신고_15.0,11166.521739130434,14391.304347826086,7956.521739130435,6.0201e+16,중,200304
배 신고_5.0,8377.0,8500.0,8000.0,6.0201e+16,중,200304
배 신고_7.5,25450.0,35000.0,18000.0,6.0201e+16,중,200304
배 신고_15.0,5940.782608695652,7913.04347826087,3782.608695652174,6.0201e+16,하,200304
배 신고_5.0,7364.0,8000.0,7000.0,6.0201e+16,하,200304
배 신고_7.5,16675.0,18000.0,15000.0,6.0201e+16,하,200304
배 신고_15.0,33769.782608695656,39217.391304347824,28260.869565217392,6.0201e+16,특,200305
배 신고_5.0,9000.0,9000.0,9000.0,6.0201e+16,특,200305
배 신고_7.5,40000.0,40000.0,40000.0,6.0201e+16,특,200305
배 신고_15.0,20430.695652173912,26521.739130434784,14434.782608695652,6.0201e+16,상,200305
배 신고_5.0,8557.0,9000.0,8500.0,6.0201e+16,상,200305
배 신고_7.5,35275.0,40000.0,35000.0,6.0201e+16,상,200305
배 신고_15.0,11613.739130434782,14434.782608695652,8782.608695652174,6.0201e+16,중,200305
배 신고_5.0,8377.0,8500.0,8000.0,6.0201e+16,중,200305
배 신고_7.5,25450.0,35000.0,18000.0,6.0201e+16,중,200305
배 신고_15.0,6542.739130434783,8782.608695652174,4130.434782608696,6.0201e+16,하,200305
배 신고_5.0,7364.0,8000.0,7000.0,6.0201e+16,하,200305
배 신고_7.5,16675.0,18000.0,15000.0,6.0201e+16,하,200305
배 신고_15.0,41617.72727272727,46590.90909090909,36863.63636363636,6.0201e+16,특,200306
배 신고_5.0,9000.0,9000.0,9000.0,6.0201e+16,특,200306
배 신고_7.5,40000.0,40000.0,40000.0,6.0201e+16,특,200306
배 신고_15.0,27127.5,35409.09090909091,18863.636363636364,6.0201e+16,상,200306
배 신고_5.0,8557.0,9000.0,8500.0,6.0201e+16,상,200306
배 신고_7.5,35275.0,40000.0,35000.0,6.0201e+16,상,200306
배 신고_15.0,14244.90909090909,18863.636363636364,9681.818181818182,6.0201e+16,중,200306
배 신고_5.0,8377.0,8500.0,8000.0,6.0201e+16,중,200306
배 신고_7.5,25450.0,35000.0,18000.0,6.0201e+16,중,200306
배 신고_15.0,6977.0,9590.90909090909,4000.0,6.0201e+16,하,200306
배 신고_5.0,7364.0,8000.0,7000.0,6.0201e+16,하,200306
배 신고_7.5,16675.0,18000.0,15000.0,6.0201e+16,하,200306
배 신고_15.0,46019.230769230766,51692.307692307695,40346.153846153844,6.0201e+16,특,200307
배 신고_5.0,9000.0,9000.0,9000.0,6.0201e+16,특,200307
배 신고_7.5,40000.0,40000.0,40000.0,6.0201e+16,특,200307
배 신고_15.0,29386.76923076923,38692.307692307695,20115.384615384617,6.0201e+16,상,200307
배 신고_5.0,8557.0,9000.0,8500.0,6.0201e+16,상,200307
배 신고_7.5,35275.0,40000.0,35000.0,6.0201e+16,상,200307
배 신고_15.0,15045.346153846154,20115.384615384617,9961.538461538461,6.0201e+16,중,200307
배 신고_5.0,8377.0,8500.0,8000.0,6.0201e+16,중,200307
배 신고_7.5,25450.0,35000.0,18000.0,6.0201e+16,중,200307
배 신고_15.0,6820.5,9961.538461538461,3461.5384615384614,6.0201e+16,하,200307
배 신고_5.0,7364.0,8000.0,7000.0,6.0201e+16,하,200307
배 신고_7.5,16675.0,18000.0,15000.0,6.0201e+16,하,200307
배 신고_15.0,55900.0,64666.666666666664,47133.333333333336,6.0201e+16,특,200308
배 원황_15.0,52944.444444444445,61111.11111111111,44777.77777777778,6.0221e+16,특,200308
배 신고_15.0,32366.666666666668,44600.0,20133.333333333332,6.0201e+16,상,200308
