품목명,등급,월,평균가격,최고가격,최저가격,계절지수
사과 모리스_15,상,09,36463.625,43381.25,31325.0,0.2588595504720618
사과 모리스_15,상,10,33967.666666666664,40222.22222222222,31409.72222222222,0.24114044952793828
사과 모리스_15,중,09,24945.220833333333,31095.833333333336,19222.916666666668,0.23867269527689144
사과 모리스_15,중,10,27313.0,31118.055555555555,22923.61111111111,0.26132730472310856
사과 모리스_15,특,09,45311.48125,47993.75,43443.75,0.2608181256691634
사과 모리스_15,특,10,41552.65277777778,42881.944444444445,40222.22222222222,0.2391818743308366
사과 모리스_15,하,09,15612.374999999998,19121.527777777777,8631.944444444445,0.22347786913209336
사과 모리스_15,하,10,19318.097222222223,22861.11111111111,11215.277777777777,0.27652213086790667
사과 세계일_10,상,09,24240.0,26000.0,20500.0,1.0
사과 세계일_10,중,09,17507.0,20500.0,6000.0,1.0
사과 세계일_10,특,09,29000.0,32000.0,26000.0,1.0
사과 세계일_10,하,09,4576.0,6000.0,4000.0,1.0
사과 아오리_10,상,01,31909.0,36000.0,30000.0,0.21322035137881584
사과 아오리_10,상,02,38167.0,39000.0,38000.0,0.2550371729316263
사과 아오리_10,상,03,37724.0,42000.0,35000.0,0.2520769856596712
사과 아오리_10,상,04,35226.5,39500.0,31000.0,0.23538834522692204
사과 아오리_10,상,05,29881.0,35500.0,26500.0,0.19966897488327418
사과 아오리_10,상,06,30798.0,40000.0,24000.0,0.20579649571483816
사과 아오리_10,상,07,29338.249641874023,34035.65860468034,25525.371629767407,0.19604224192170852
사과 아오리_10,상,08,24153.30582032039,28483.15786728191,20916.715399784454,0.16139573016919087
사과 아오리_10,상,09,22839.239593713784,25269.453812095056,20898.128060939034,0.15261495789265148
사과 아오리_10,상,10,28274.0,32250.0,25000.0,0.1889307786168366
사과 아오리_10,상,11,37674.333333333336,41666.666666666664,35666.666666666664,0.2517451061235378
사과 아오리_10,상,12,36625.0,43000.0,32500.0,0.24473331565543044
사과 아오리_10,중,01,26467.0,30000.0,22000.0,0.2444995608368671
사과 아오리_10,중,02,35056.0,38000.0,32000.0,0.3238439039066465
사과 아오리_10,중,03,29926.5,35000.0,25000.0,0.2764580839303474
사과 아오리_10,중,04,26076.5,31000.0,19500.0,0.2408921599789385
사과 아오리_10,중,05,22274.0,26500.0,18500.0,0.2057650363879691
사과 아오리_10,중,06,17025.0,24000.0,11000.0,0.1572752870838275
사과 아오리_10,중,07,20753.470405676544,25134.405243212786,16221.873742909549,0.19171853251327442
사과 아오리_10,중,08,17286.9136474644,21141.22254104591,13512.390512567143,0.15969481977669892
사과 아오리_10,중,09,17905.911258477245,20687.940867032936,14609.464346395293,0.16541305924666946
사과 아오리_10,중,10,21707.75,25000.0,18500.0,0.20053407419641445
사과 아오리_10,중,11,31199.333333333332,35666.666666666664,28333.333333333332,0.28821639393973736
사과 아오리_10,중,12,27126.5,32500.0,23000.0,0.25059195742023177
사과 아오리_10,특,01,36000.0,36000.0,36000.0,0.21105352721471815
사과 아오리_10,특,02,39250.0,40000.0,39000.0,0.23010697064382468
사과 아오리_10,특,03,44431.5,50000.0,42000.0,0.2604840220677986
사과 아오리_10,특,04,42300.5,48000.0,39500.0,0.2479908257762829
사과 아오리_10,특,05,37099.5,39000.0,35500.0,0.21749945369173432
사과 아오리_10,특,06,43799.0,48000.0,40000.0,0.25677592884659556
사과 아오리_10,특,07,35477.533036152534,37995.50227644856,33820.96456793814,0.2079905134487967
사과 아오리_10,특,08,31112.056992348233,34108.79014222492,29319.096010269925,0.1823974824205675
사과 아오리_10,특,09,24387.40636024012,24918.05791379534,23892.295399968032,0.1429735592207591
사과 아오리_10,특,10,32703.75,33500.0,32250.0,0.1917289386291205
사과 아오리_10,특,11,44052.666666666664,46666.666666666664,42333.333333333336,0.2582630745337289
사과 아오리_10,특,12,46213.0,48500.0,43000.0,0.27092824036593804
사과 아오리_10,하,01,19614.0,22000.0,16000.0,0.28847560837810315
사과 아오리_10,하,02,23500.0,32000.0,13000.0,0.3456294889816164
사과 아오리_10,하,03,18690.5,25000.0,8000.0,0.2748931048430171
사과 아오리_10,하,04,17568.5,19500.0,12500.0,0.2583911351988735
사과 아오리_10,하,05,14597.0,18500.0,8000.0,0.21468738938998533
사과 아오리_10,하,06,8181.0,11000.0,3000.0,0.12032318507908951
사과 아오리_10,하,07,13003.73683792211,16271.23240893488,7428.983585089723,0.1912542518358485
사과 아오리_10,하,08,11150.687235042737,13596.772102293842,6299.611736089997,0.1640002693975172
사과 아오리_10,하,09,11494.703216235313,14553.908790839738,7922.303896728449,0.1690599318562874
사과 아오리_10,하,10,12071.0,18500.0,5250.0,0.1775358962339188
