품목명,평균가격,최고가격,최저가격,품목코드,등급,일자
수박_1.0,1204.5454545454545,1418.1818181818182,990.9090909090909,8.01e+16,상,200301
수박_10.0,10636.363636363636,13000.0,8272.727272727272,8.01e+16,상,200301
수박_1.0,731.8181818181819,909.0909090909091,554.5454545454545,8.01e+16,중,200301
수박_10.0,6056.818181818182,7931.818181818182,4181.818181818182,8.01e+16,중,200301
수박_1.0,284.09090909090907,422.72727272727275,145.45454545454547,8.01e+16,하,200301
수박_10.0,2784.090909090909,3727.2727272727275,1840.909090909091,8.01e+16,하,200301
수박(일반)_1.0,3259.0,3308.0,3231.0,8.0101e+16,특,200302
수박(일반)_10.0,38507.0,39000.0,38000.0,8.0101e+16,특,200302
수박(일반)_8.0,30750.0,31000.0,30000.0,8.0101e+16,특,200302
수박(일반)_1.0,2931.0,3231.0,2727.0,8.0101e+16,상,200302
수박(일반)_10.0,30898.0,38000.0,27000.0,8.0101e+16,상,200302
수박(일반)_8.0,26806.0,30000.0,23000.0,8.0101e+16,상,200302
수박_1.0,1511.904761904762,1747.6190476190477,1276.1904761904761,8.01e+16,상,200302
수박_10.0,13023.809523809523,14190.47619047619,11857.142857142857,8.01e+16,상,200302
수박(일반)_1.0,2347.0,2727.0,2000.0,8.0101e+16,중,200302
수박(일반)_10.0,21773.0,26500.0,18000.0,8.0101e+16,중,200302
수박(일반)_8.0,19325.0,23000.0,15000.0,8.0101e+16,중,200302
수박_1.0,1071.4285714285713,1257.142857142857,885.7142857142857,8.01e+16,중,200302
수박_10.0,9190.47619047619,11523.809523809523,6857.142857142857,8.01e+16,중,200302
수박(일반)_1.0,1627.0,2000.0,900.0,8.0101e+16,하,200302
수박(일반)_10.0,14260.0,18000.0,8000.0,8.0101e+16,하,200302
수박(일반)_8.0,11594.0,15000.0,7000.0,8.0101e+16,하,200302
수박_1.0,480.95238095238096,757.1428571428571,204.76190476190476,8.01e+16,하,200302
수박_10.0,4238.0952380952385,6476.190476190476,2000.0,8.01e+16,하,200302
수박(일반)_1.0,3175.0,3231.0,3077.0,8.0101e+16,특,200303
수박(일반)_10.0,35000.0,35000.0,35000.0,8.0101e+16,특,200303
수박(일반)_8.0,29913.0,31000.0,29000.0,8.0101e+16,특,200303
수박(일반)_1.0,2852.0,3077.0,2500.0,8.0101e+16,상,200303
수박(일반)_10.0,29270.0,35000.0,24000.0,8.0101e+16,상,200303
수박(일반)_8.0,23664.0,29000.0,18000.0,8.0101e+16,상,200303
수박_1.0,1896.7391304347825,2236.9565217391305,1556.5217391304348,8.01e+16,상,200303
수박_10.0,17206.521739130436,19195.652173913044,15217.391304347826,8.01e+16,상,200303
수박(일반)_1.0,2068.0,2500.0,1500.0,8.0101e+16,중,200303
수박(일반)_10.0,18269.0,24000.0,15000.0,8.0101e+16,중,200303
수박(일반)_8.0,14864.0,18000.0,12000.0,8.0101e+16,중,200303
수박_1.0,1308.695652173913,1530.4347826086957,1086.9565217391305,8.01e+16,중,200303
수박_10.0,13043.478260869566,15217.391304347826,10869.565217391304,8.01e+16,중,200303
수박(일반)_1.0,1270.0,1500.0,800.0,8.0101e+16,하,200303
수박(일반)_10.0,12208.0,15000.0,7000.0,8.0101e+16,하,200303
수박(일반)_8.0,9374.0,12000.0,6000.0,8.0101e+16,하,200303
수박_1.0,719.5652173913044,1082.608695652174,356.5217391304348,8.01e+16,하,200303
수박_10.0,7586.95652173913,10869.565217391304,4304.347826086957,8.01e+16,하,200303
