midName,goodName,danq,dan,poj,sizeName,lv,minCost,maxCost,aveCost,saledate,cmpName,largeName
새송이,새송이(일반),2.0,kg,봉지,12개,상,4600,5500,4900,2022-08-03,항도청과(주),버섯류
새송이,새송이(일반),2.0,kg,봉지,13개,보통,3600,4700,4100,2022-08-03,항도청과(주),버섯류
새송이,새송이(일반),2.0,kg,봉지,14개,4등,1600,3500,2900,2022-08-03,항도청과(주),버섯류
새송이,새송이(일반),2.0,kg,봉지,19개,등외,2000,2900,2500,2022-08-03,항도청과(주),버섯류
미역,줄기미역,10.0,kg,상자,11개,특,20000,20000,20000,2022-08-03,항도청과(주),신선 해조류
파래,갈파래,40.0,kg,P-BOX,11개,특,50000,50000,50000,2022-08-03,항도청과(주),신선 해조류
표고버섯,표고버섯(일반),12.4,kg,P-BOX,11개,특,34720,34720,34700,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),13.4,kg,P-BOX,11개,특,34840,77720,46900,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),13.0,kg,P-BOX,11개,특,35100,67600,43900,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),12.2,kg,P-BOX,11개,특,35380,56120,47300,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),12.8,kg,P-BOX,11개,특,37120,60160,51200,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),13.5,kg,P-BOX,11개,특,37800,60750,50400,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),10.9,kg,P-BOX,11개,특,39240,39240,39200,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),15.3,kg,P-BOX,11개,특,39780,39780,39800,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),12.5,kg,P-BOX,11개,특,40000,110000,66300,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),15.4,kg,P-BOX,11개,특,40040,158620,85200,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),14.4,kg,P-BOX,11개,특,40320,74880,54700,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),14.2,kg,P-BOX,11개,특,42600,65320,54000,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),16.2,kg,P-BOX,11개,특,43740,155520,99400,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),11.6,kg,P-BOX,11개,특,45240,45240,45200,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),12.1,kg,P-BOX,11개,특,47190,47190,47200,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),12.3,kg,P-BOX,11개,특,49200,49200,49200,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),12.9,kg,P-BOX,11개,특,51600,85140,68400,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),15.1,kg,P-BOX,11개,특,54360,143450,100400,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),11.2,kg,P-BOX,11개,특,57120,57120,57100,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),14.3,kg,P-BOX,11개,특,58630,58630,58600,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),13.8,kg,P-BOX,11개,특,64860,64860,64900,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),14.5,kg,P-BOX,11개,특,66700,71050,68900,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),14.7,kg,P-BOX,11개,특,67620,67620,67600,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),15.8,kg,P-BOX,11개,특,71100,112180,92200,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),15.5,kg,P-BOX,11개,특,71300,88350,79800,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),15.2,kg,P-BOX,11개,특,76000,76000,76000,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),15.7,kg,P-BOX,11개,특,83210,83210,83200,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),16.1,kg,P-BOX,11개,특,88550,96600,92300,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),15.6,kg,P-BOX,11개,특,90480,124800,104500,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),16.7,kg,P-BOX,11개,특,93520,93520,93500,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),16.3,kg,P-BOX,11개,특,94540,114100,102100,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),16.8,kg,P-BOX,11개,특,95760,97440,96600,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),17.0,kg,P-BOX,11개,특,96900,108800,103700,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),15.0,kg,P-BOX,11개,특,99000,162000,134500,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),17.4,kg,P-BOX,11개,특,99180,100920,100100,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),17.6,kg,P-BOX,11개,특,100320,100320,100300,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),16.5,kg,P-BOX,11개,특,110550,110550,110600,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),16.0,kg,P-BOX,11개,특,116800,116800,116800,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),14.9,kg,P-BOX,11개,특,138570,138570,138600,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),14.6,kg,P-BOX,11개,특,143080,143080,143100,2022-08-03,항도청과(주),버섯류
표고버섯,표고버섯(일반),16.6,kg,P-BOX,11개,특,184260,184260,184300,2022-08-03,항도청과(주),버섯류
표고버섯,화고건표고,1.0,kg,봉지,11개,특,13500,13500,13500,2022-08-03,항도청과(주),버섯류
팽이버섯,팽이1호,5.0,kg,상자,11개,특,8900,9400,9200,2022-08-03,항도청과(주),버섯류
팽이버섯,팽이1호,5.0,kg,상자,12개,상,8200,8300,8300,2022-08-03,항도청과(주),버섯류
팽이버섯,기타팽이버섯,2.0,kg,상자,11개,특,13200,13200,13200,2022-08-03,항도청과(주),버섯류
만가닥,만가닥(일반),2.0,kg,봉지,11개,특,4900,5100,5000,2022-08-03,항도청과(주),버섯류
만가닥,만가닥(일반),2.0,kg,봉지,19개,등외,2600,2600,2600,2022-08-03,항도청과(주),버섯류
목이,목이(수입),0.5,kg,봉지,11개,특,7600,7600,7600,2022-08-03,항도청과(주),버섯류
목이,목이(수입),1.0,kg,봉지,11개,특,16000,16000,16000,2022-08-03,항도청과(주),버섯류
새송이,새송이(일반),0.4,kg,봉지,11개,특,670,980,800,2022-08-03,항도청과(주),버섯류
