midName,goodName,danq,dan,poj,sizeName,lv,minCost,maxCost,aveCost,saledate,cmpName,largeName
표고버섯,표고버섯(일반),13.1,kg,P-BOX,11개,특,65500,77290,71400,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),16,kg,P-BOX,11개,특,68800,99200,84000,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),12.5,kg,P-BOX,11개,특,71250,72500,71700,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),13.9,kg,P-BOX,11개,특,73670,94520,81500,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),14.3,kg,P-BOX,11개,특,75790,75790,75800,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),16.6,kg,P-BOX,11개,특,76360,114540,95500,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),17.4,kg,P-BOX,11개,특,80040,80040,80000,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),15.1,kg,P-BOX,11개,특,83050,102680,93600,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),15.6,kg,P-BOX,11개,특,87360,115440,100900,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),15,kg,P-BOX,11개,특,88500,102000,95300,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),15.3,kg,P-BOX,11개,특,90270,105570,100600,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),13.5,kg,P-BOX,11개,특,91800,91800,91800,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),13.6,kg,P-BOX,11개,특,93840,93840,93800,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),14,kg,P-BOX,11개,특,98000,98000,98000,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),15.4,kg,P-BOX,11개,특,103180,103180,103200,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),14.8,kg,P-BOX,11개,특,105080,105080,105100,2022-08-11,항도청과(주),버섯류
표고버섯,표고버섯(일반),16.1,kg,P-BOX,11개,특,109480,119140,114300,2022-08-11,항도청과(주),버섯류
표고버섯,화고건표고,1,kg,봉지,11개,특,14500,47000,25300,2022-08-11,항도청과(주),버섯류
팽이버섯,팽이1호,5,kg,상자,11개,특,10100,10300,10200,2022-08-11,항도청과(주),버섯류
팽이버섯,팽이1호,5,kg,상자,12개,상,9400,9400,9400,2022-08-11,항도청과(주),버섯류
팽이버섯,기타팽이버섯,2,kg,봉지,11개,특,8300,8300,8300,2022-08-11,항도청과(주),버섯류
팽이버섯,기타팽이버섯,2,kg,상자,11개,특,9600,9600,9600,2022-08-11,항도청과(주),버섯류
양상추,양상추(일반),4,kg,상자,11개,특,17000,17000,17000,2022-08-11,항도청과(주),양채류
치커리,치커리(일반),2,kg,상자,11개,특,2200,8900,4200,2022-08-11,항도청과(주),양채류
브로코리(녹색꽃양배추),브로코리(일반),6,kg,상자,11개,특,3000,25000,16200,2022-08-11,항도청과(주),양채류
브로코리(녹색꽃양배추),브로코리(일반),8,kg,상자,11개,특,30000,30000,30000,2022-08-11,항도청과(주),양채류
브로코리(녹색꽃양배추),브로코리(수입),8,kg,상자,11개,특,30000,30000,30000,2022-08-11,항도청과(주),양채류
케일,쌈케일,2,kg,상자,11개,특,7800,9600,8700,2022-08-11,항도청과(주),양채류
파프리카,파프리카(일반),5,kg,상자,12개,상,17000,17000,17000,2022-08-11,항도청과(주),양채류
취나물,취나물(일반),4,kg,봉지,11개,특,2000,2000,2000,2022-08-11,항도청과(주),산채류
취나물,취나물(일반),10,kg,봉지,11개,특,10000,10000,10000,2022-08-11,항도청과(주),산채류
취나물,취나물(일반),4,kg,상자,11개,특,10000,10000,10000,2022-08-11,항도청과(주),산채류
참나물,참나물(일반),4,kg,상자,11개,특,5300,15000,8600,2022-08-11,항도청과(주),산채류
